prediction_date,actual_date,predicted_close,actual_close,excluded_states,triggered_excluded_states,actual_state,predicted_gap,actual_gap,predicted_intraday,actual_intraday,predicted_volume,actual_volume,open_correct,path_correct,close_state_correct,five_state_correct,exclusion_correct,forced_exclusion_correct,score,error_type,review_summary
2017-05-04,2017-05-05,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,低走,高走,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(低走→高走) 成交量✗(缩量→正常) 得分=40
2017-05-05,2017-05-08,震荡,收跌,"['大跌', '大涨']",[],小跌,平开,平开,高走,低走,正常,正常,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✓(正常→正常) 得分=60
2017-05-08,2017-05-09,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,平开,低走,高走,缩量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(低走→高走) 成交量✗(缩量→正常) 得分=60
2017-05-09,2017-05-10,震荡,收涨,"['大跌', '大涨']",[],小涨,平开,平开,高走,高走,正常,正常,True,True,False,False,True,True,80,close_direction_error,预测收盘✗(震荡→收涨) 开盘✓(平开→平开) 日内✓(高走→高走) 成交量✓(正常→正常) 得分=80
2017-05-10,2017-05-11,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,高走,低走,正常,正常,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✓(正常→正常) 得分=60
2017-05-11,2017-05-12,收涨,收涨,"['大跌', '大涨']",[],大涨,平开,平开,震荡,高走,缩量,放量,True,False,True,False,True,False,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✗(缩量→放量) 得分=60
2017-05-12,2017-05-15,震荡,收涨,"['大跌', '大涨']",[],小涨,平开,平开,高走,高走,正常,放量,True,True,False,False,True,True,60,close_direction_error,预测收盘✗(震荡→收涨) 开盘✓(平开→平开) 日内✓(高走→高走) 成交量✗(正常→放量) 得分=60
2017-05-15,2017-05-16,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,平开,高走,震荡,放量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(高走→震荡) 成交量✗(放量→正常) 得分=60
2017-05-16,2017-05-17,震荡,收跌,"['大跌', '大涨']",[],大跌,平开,低开,震荡,低走,缩量,放量,False,False,False,False,True,False,20,direction_and_gap_error,预测收盘✗(震荡→收跌) 开盘✗(平开→低开) 日内✗(震荡→低走) 成交量✗(缩量→放量) 得分=20
2017-05-17,2017-05-18,收涨,收涨,"['大跌', '小跌']","['大跌', '小跌']",大涨,平开,平开,低走,高走,放量,放量,True,False,True,False,True,True,80,partial_error,预测收盘✓(收涨→收涨) 开盘✓(平开→平开) 日内✗(低走→高走) 成交量✓(放量→放量) 得分=80
2017-05-18,2017-05-19,收涨,收跌,"['大跌', '小跌']",[],小跌,平开,平开,震荡,低走,放量,放量,True,False,False,False,True,False,60,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✓(放量→放量) 得分=60
2017-05-19,2017-05-22,收涨,收涨,"['大跌', '小跌']",[],小涨,平开,高开,低走,高走,放量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(低走→高走) 成交量✗(放量→正常) 得分=40
2017-05-22,2017-05-23,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,震荡,低走,正常,缩量,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(正常→缩量) 得分=40
2017-05-23,2017-05-24,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,低走,震荡,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(低走→震荡) 成交量✗(缩量→正常) 得分=40
2017-05-24,2017-05-25,收跌,收涨,"['大涨', '大跌']",[],小涨,平开,高开,震荡,低走,缩量,正常,False,False,False,False,True,True,20,direction_and_gap_error,预测收盘✗(收跌→收涨) 开盘✗(平开→高开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=20
2017-05-25,2017-05-26,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,平开,低走,低走,缩量,缩量,True,True,True,True,True,True,100,none,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✓(低走→低走) 成交量✓(缩量→缩量) 得分=100
2017-05-26,2017-05-30,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,平开,低走,低走,缩量,放量,True,True,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✓(低走→低走) 成交量✗(缩量→放量) 得分=60
2017-05-30,2017-05-31,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,高开,低走,低走,正常,放量,False,True,True,False,True,True,60,gap_error,预测收盘✓(震荡→震荡) 开盘✗(平开→高开) 日内✓(低走→低走) 成交量✗(正常→放量) 得分=60
2017-05-31,2017-06-01,收涨,收跌,"['大跌', '小跌']",[],大跌,平开,高开,低走,低走,放量,放量,False,True,False,False,True,False,60,direction_and_gap_error,预测收盘✗(收涨→收跌) 开盘✗(平开→高开) 日内✓(低走→低走) 成交量✓(放量→放量) 得分=60
2017-06-01,2017-06-02,收涨,收涨,"['大跌', '小跌']",[],大涨,平开,高开,低走,高走,放量,放量,False,False,True,False,True,True,60,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(低走→高走) 成交量✓(放量→放量) 得分=60
2017-06-02,2017-06-05,收涨,收跌,"['大跌', '小跌']",[],小跌,平开,平开,震荡,低走,放量,放量,True,False,False,False,True,False,60,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✓(放量→放量) 得分=60
2017-06-05,2017-06-06,震荡,收涨,"['大涨', '大跌']",[],小涨,平开,低开,震荡,高走,正常,正常,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→低开) 日内✗(震荡→高走) 成交量✓(正常→正常) 得分=40
2017-06-06,2017-06-07,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,平开,高走,高走,正常,正常,True,True,False,False,True,True,80,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✓(高走→高走) 成交量✓(正常→正常) 得分=80
2017-06-07,2017-06-08,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,平开,高走,低走,缩量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(缩量→正常) 得分=60
2017-06-08,2017-06-09,收涨,收跌,"['大跌', '大涨']",[],大跌,平开,平开,低走,低走,缩量,放量,True,True,False,False,True,False,60,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✓(低走→低走) 成交量✗(缩量→放量) 得分=60
2017-06-09,2017-06-12,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,低开,低走,低走,放量,放量,False,True,False,False,True,True,60,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→低开) 日内✓(低走→低走) 成交量✓(放量→放量) 得分=60
2017-06-12,2017-06-13,收涨,震荡,"['大跌', '小跌']",[],震荡,平开,高开,低走,震荡,放量,正常,False,False,False,False,True,True,20,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→高开) 日内✗(低走→震荡) 成交量✗(放量→正常) 得分=20
2017-06-13,2017-06-14,收跌,收跌,"['大涨', '大跌']",[],小跌,平开,平开,震荡,低走,缩量,正常,True,False,True,False,True,True,60,partial_error,预测收盘✓(收跌→收跌) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(缩量→正常) 得分=60
2017-06-14,2017-06-15,收涨,收跌,"['大跌', '大涨']",[],小跌,平开,低开,低走,高走,正常,正常,False,False,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→收跌) 开盘✗(平开→低开) 日内✗(低走→高走) 成交量✓(正常→正常) 得分=40
2017-06-15,2017-06-16,收涨,收跌,"['大跌', '小跌']",[],小跌,平开,平开,高走,低走,缩量,正常,True,False,False,False,True,False,40,close_direction_error,预测收盘✗(收涨→收跌) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(缩量→正常) 得分=40
2017-06-16,2017-06-19,收涨,收涨,"['大跌', '大涨']",[],大涨,平开,高开,低走,低走,正常,正常,False,True,True,False,True,False,80,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✓(低走→低走) 成交量✓(正常→正常) 得分=80
2017-06-19,2017-06-20,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,低走,低走,缩量,缩量,True,True,False,False,True,True,80,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✓(低走→低走) 成交量✓(缩量→缩量) 得分=80
2017-06-20,2017-06-21,震荡,收涨,"['大跌', '大涨']",[],大涨,平开,高开,震荡,高走,缩量,正常,False,False,False,False,True,False,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(震荡→高走) 成交量✗(缩量→正常) 得分=20
2017-06-21,2017-06-22,震荡,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,低走,正常,缩量,True,False,True,False,True,True,60,partial_error,预测收盘✓(震荡→震荡) 开盘✓(平开→平开) 日内✗(震荡→低走) 成交量✗(正常→缩量) 得分=60
2017-06-22,2017-06-23,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,低走,高走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(低走→高走) 成交量✗(缩量→正常) 得分=40
2017-06-23,2017-06-26,震荡,收跌,"['大跌', '大涨']",[],小跌,平开,平开,高走,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(缩量→正常) 得分=40
