Date,Open,High,Low,Close,Volume,PrevClose,MA20_Volume,O_gap,H_up,L_down,C_move,V_ratio,O_code,H_code,L_code,C_code,V_code,Code
2019-04-04,183.8300018310547,184.5,182.6499938964844,183.7100067138672,28530800,183.77999877929688,37410585.0,0.0002720810321577,0.003644661710666,0.0064190171507192,-0.000652750454182,0.7626397716047477,3,1,2,3,2,31232
2019-04-05,184.2400054931641,184.77000427246097,184.02000427246097,184.66000366210935,25674700,183.7100067138672,36866755.0,0.0028849750145749,0.0028766758765459,0.0011941012491518,0.0022796252519697,0.6964187653619094,3,1,1,3,1,31131
2019-04-08,184.36000061035156,185.27999877929688,183.6300048828125,185.1300048828125,22697500,184.66000366210935,36185330.0,-0.00162462388069,0.0049902265453434,0.0039596209867775,0.0041766341392477,0.6272569574465674,3,1,1,3,1,31131
2019-04-09,184.5,185.11000061035156,184.08999633789065,184.47999572753903,25631900,185.1300048828125,35794285.0,-0.0034030403834931,0.0033062363704691,0.0022222420710533,-0.0001084242409808,0.7160891745707451,3,1,1,3,2,31132
2019-04-10,184.72000122070312,185.52999877929688,184.52000427246097,185.47000122070312,24563000,184.47999572753903,35378205.0,0.0013009838395625,0.0043850019123049,0.0010827032639697,0.0040601991936103,0.6942975201822704,3,1,1,3,1,31131
2019-04-11,185.77999877929688,185.77999877929688,184.69000244140625,185.02999877929688,20654100,185.47000122070312,34485050.0,0.0016714161673232,0.0,0.0058671350255821,-0.00403703307637,0.5989291011612279,3,1,2,3,1,31231
2019-04-12,185.8500061035156,185.9499969482422,185.05999755859375,185.8300018310547,24989100,185.02999877929688,34330180.0,0.0044317533893345,0.0005380190553822,0.0042507856818784,-0.00010763665216,0.7279047182391704,3,1,1,3,2,31132
2019-04-15,185.83999633789065,186.07000732421875,184.6199951171875,185.86000061035156,21073000,185.8300018310547,33670035.0,5.3783063754432496e-05,0.0012376829038991,0.0065647936114084,0.0001076424497153,0.625868075278211,3,1,2,3,1,31231
2019-04-16,186.5399932861328,186.91000366210935,185.92999267578125,186.5,27195700,185.86000061035156,33076930.0,0.0036586283952878,0.0019835444906925,0.0032700795127395,-0.0002143952373337,0.8221954093079376,3,1,1,3,2,31132
2019-04-17,187.75,187.92999267578125,186.6000061035156,187.1499938964844,29651600,186.5,32592050.0,0.0067024128686327,0.0009586826939081,0.0061251339360021,-0.0031957715233853,0.9097801457717448,4,1,2,3,3,41233
2019-04-18,187.4600067138672,187.7899932861328,186.2899932861328,187.38999938964844,28580900,187.1499938964844,31569380.0,0.0016564938685184,0.0017603038538737,0.0062414028903788,-0.0003734520522321,0.9053361199998228,3,1,2,3,3,31233
2019-04-22,186.57000732421875,187.9900054931641,186.42999267578125,187.9199981689453,17936000,187.38999938964844,30877000.0,-0.0043758582000133,0.007611074198425,0.0007504670790637,0.007235840658893,0.5808854487158727,3,2,1,4,1,32141
2019-04-23,188.3999938964844,190.5399932861328,188.1300048828125,190.30999755859375,33665600,187.9199981689453,28234075.0,0.0025542557057049,0.0113588081686681,0.0014330627516912,0.0101380240126695,1.1923748166001542,3,2,1,4,4,32144
2019-04-24,190.47000122070312,190.7100067138672,189.6499938964844,189.7100067138672,24977100,190.30999755859375,27600530.0,0.0008407527936629,0.0012600697833038,0.0043051783428538,-0.0039901008135937,0.9049500136410424,3,1,1,3,3,31133
2019-04-25,191.1300048828125,191.22000122070312,189.4499969482422,190.47999572753903,29517500,189.7100067138672,27186980.0,0.0074850989335899,0.0004708645193924,0.0087898702017005,-0.0034008744763649,1.085721915416865,4,1,2,3,3,41233
2019-04-26,190.17999267578125,190.69000244140625,188.58999633789065,190.6499938964844,26359500,190.47999572753903,26808020.0,-0.0015749845573647,0.0026817214495031,0.008360481644361,0.0024713494521182,0.9832691858630364,3,1,2,3,3,31233
2019-04-29,190.6499938964844,191.32000732421875,190.33999633789065,191.02000427246097,21716200,190.6499938964844,26607585.0,0.0,0.0035143637512946,0.0016260035065202,0.0019407835710577,0.8161657662655216,3,1,1,3,2,31132
2019-04-30,189.47999572753903,189.8500061035156,188.2100067138672,189.5399932861328,31495300,191.02000427246097,25933120.0,-0.0080620275912325,0.0019527674916597,0.0067024965289634,0.0003166432338327,1.2144817129601069,2,1,2,3,4,21234
2019-05-01,190.77999877929688,191.32000732421875,188.8000030517578,188.92999267578125,34797100,189.5399932861328,25959410.0,0.0065421839035951,0.0028305301833374,0.0103784240497328,-0.0096970652864706,1.34044263717858,4,1,2,2,4,41224
2019-05-02,188.8699951171875,189.8500061035156,186.8699951171875,188.11000061035156,44110100,188.92999267578125,26567005.0,-0.0003175650289507,0.00518881247241,0.0105892944973025,-0.0040239028246089,1.6603339367760874,3,2,2,3,5,32235
2019-05-03,189.6699981689453,191.25,189.3300018310547,191.11000061035156,30386200,188.11000061035156,27190835.0,0.0082930070359475,0.0083302675505238,0.0017925678345173,0.007592146651067,1.1175162513398356,4,2,1,4,4,42144
2019-05-06,187.0500030517578,190.1999969482422,186.7599945068359,189.94000244140625,38371800,191.11000061035156,27283605.0,-0.0212442967172165,0.0168403840956514,0.0015504332541585,0.0154504108126037,1.4064050553436762,1,3,1,4,4,13144
2019-05-07,187.8699951171875,188.6699981689453,184.5099945068359,186.2400054931641,58818100,189.94000244140625,27918460.0,-0.0108982167927333,0.0042582800476403,0.0178847112241405,-0.0086761572703862,2.1067816777859525,2,1,3,2,5,21325
2019-05-08,185.6300048828125,187.1699981689453,184.9600067138672,185.77000427246097,37165300,186.2400054931641,29724490.0,-0.0032753468232365,0.0082960364468287,0.0036093204294654,0.00075418513153,1.2503259097128328,3,2,1,3,4,32134
2019-05-09,183.6999969482422,185.41000366210935,182.08999633789065,184.77000427246097,55351700,185.77000427246097,30301160.0,-0.0111428501728556,0.0093086921190802,0.0087642930707568,0.0058247541752559,1.8267188450871188,2,2,2,4,5,22245
2019-05-10,184.11000061035156,185.88999938964844,181.02999877929688,185.0,58526400,184.77000427246097,31840595.0,-0.0035720281801594,0.0096681265189067,0.0167291392148391,0.0048340632594533,1.8381063544823832,3,2,3,3,5,32335
2019-05-13,180.2899932861328,181.2599945068359,178.05999755859375,178.5800018310547,67185800,185.0,33734210.0,-0.0254594957506334,0.0053802277265806,0.0123689378810941,-0.0094846720215039,1.9916221544835344,1,2,2,2,5,12225
2019-05-14,179.52000427246094,181.6300048828125,178.86000061035156,180.5399932861328,43360600,178.5800018310547,35844045.0,0.0052637609573749,0.0117535681825696,0.0036764909001877,0.0056817568482441,1.2097016394215552,4,2,1,4,4,42144
2019-05-15,179.35000610351562,183.5500030517578,179.30999755859375,183.08999633789065,40944500,180.5399932861328,36958425.0,-0.0065912663502275,0.0234178801522765,0.0002230752359092,0.0208530254089671,1.107852945573303,2,3,1,5,4,23154
2019-05-16,183.1699981689453,186.07000732421875,182.9499969482422,184.92999267578125,39281200,183.08999633789065,37645865.0,0.0004369535892448,0.0158323370872048,0.0012010767205457,0.0096085304603902,1.0434399634594662,3,3,1,4,3,33143
2019-05-17,183.1000061035156,185.5800018310547,182.8800048828125,183.0399932861328,44702300,184.92999267578125,38127345.0,-0.0098955639687607,0.0135444874105412,0.0012015358458192,-0.0003277597781665,1.1724472291474792,2,2,1,3,4,22134
2019-05-20,180.4900054931641,181.17999267578125,179.33999633789062,179.9499969482422,38608300,183.0399932861328,38933415.0,-0.0139313149393669,0.003822855347208,0.0063715946604978,-0.0029919027563127,0.991649461009264,2,1,2,3,3,21233
2019-05-21,181.5,182.3300018310547,180.9199981689453,181.8300018310547,31613800,179.9499969482422,39967030.0,0.0086135208560388,0.0045730128432765,0.0031956023749569,0.0018181919066373,0.7909969792601552,4,1,1,3,2,41132
2019-05-22,180.82000732421875,182.07000732421875,180.75,181.02000427246097,24332600,181.8300018310547,39864440.0,-0.0055546086820939,0.0069129518270546,0.0003871658078921,0.0011060554150051,0.6103835899864641,2,2,1,3,1,22131
2019-05-23,178.94000244140625,179.02000427246094,177.13999938964844,178.25,45351300,181.02000427246097,39832215.0,-0.0114904528889747,0.0004470874592777,0.0100592546507158,-0.0038560547222088,1.1385583252149043,2,1,2,3,4,21234
2019-05-24,179.2100067138672,179.85000610351562,177.94000244140625,178.16000366210938,25903300,178.25,40623905.0,0.0053857319151034,0.0035712257444992,0.0070866816856308,-0.00585906485364,0.6376368790740329,4,1,2,2,1,41221
2019-05-28,178.66000366210938,179.66000366210938,177.47000122070312,177.49000549316406,24763800,178.16000366210938,40601095.0,0.0028064660402021,0.0055972236622766,0.0066607098232061,-0.0065487414360411,0.6099293627425566,3,2,2,2,1,32221
2019-05-29,176.38999938964844,177.0,175.08999633789062,176.02999877929688,42178800,177.49000549316406,40753475.0,-0.0061975664514698,0.0034582494045144,0.0073700496414543,-0.0020409354929261,1.0349743181409683,2,1,2,3,3,21233
2019-05-30,176.5,177.27000427246094,175.77000427246094,176.77000427246094,30354800,176.02999877929688,41287650.0,0.0026700063850616,0.0043626304388721,0.0041359531305329,0.0015297692490704,0.7352028996564348,3,1,1,3,2,31132
2019-05-31,174.69000244140625,175.2899932861328,173.8699951171875,173.9499969482422,45446200,176.77000427246094,41065535.0,-0.0117667125687722,0.0034346032190812,0.0046940712848967,-0.0042361067194573,1.106674976960607,2,1,1,3,4,21134
2019-06-03,173.47999572753906,173.9499969482422,169.27000427246094,170.1199951171875,75842300,173.9499969482422,41132340.0,-0.0027019329057129,0.0027092531258836,0.0242678784802956,-0.0193682308802258,1.8438605729700768,3,1,3,2,5,31325
2019-06-04,172.02999877929688,174.97000122070312,171.3699951171875,174.91000366210938,47797800,170.1199951171875,43405145.0,0.0112273907649342,0.017090056747475,0.0038365614531923,0.0167412945605339,1.1012012516027765,4,3,1,4,4,43144
2019-06-05,176.5800018310547,176.61000061035156,174.3800048828125,176.2100067138672,34412700,174.91000366210938,43876445.0,0.0095477567547903,0.0001698877505142,0.0124589247107782,-0.0020953398649383,0.7843092119245304,4,1,2,3,2,41232
2019-06-06,176.50999450683594,178.0399932861328,175.72999572753906,177.61000061035156,29913200,176.2100067138672,42656175.0,0.0017024447054012,0.008668057486329,0.0044190063088278,0.0062319763058687,0.701263064491835,3,2,1,4,2,32142
2019-06-07,178.55999755859375,181.77000427246097,178.3300018310547,181.0399932861328,45888300,177.61000061035156,42293570.0,0.0053487807273101,0.0179771883834948,0.0012880585275746,0.0138888651514752,1.0849947166909768,4,3,1,4,3,43143
2019-06-10,182.25,184.8500061035156,182.2100067138672,183.1499938964844,41385300,181.0399932861328,41820400.0,0.0066836431658212,0.0142661514596191,0.0002194418992198,0.0049382381151407,0.9895959866476648,4,2,1,3,3,42133
2019-06-11,185.05999755859375,185.3999938964844,182.77999877929688,183.3999938964844,41260300,183.1499938964844,40963345.0,0.0104286307712839,0.0018372222110453,0.0123203221083745,-0.0089700836702094,1.00724928591647,4,1,2,2,3,41223
2019-06-12,182.8999938964844,183.27999877929688,182.0,182.33999633789065,27758100,183.3999938964844,39667070.0,-0.0027262814429656,0.0020776648195381,0.0049206884992777,-0.0030617691486129,0.6997769182346969,3,1,1,3,1,31131
2019-06-13,183.1000061035156,183.8699951171875,182.7400054931641,183.4199981689453,23715800,182.33999633789065,38886945.0,0.0041680913726497,0.0042052921245485,0.0019661419899023,0.001747635471125,0.60986534169758,3,1,1,3,1,31131
2019-06-14,182.47999572753903,183.11000061035156,181.94000244140625,182.63999938964844,22844100,183.4199981689453,38025510.0,-0.0051248634325056,0.0034524599822612,0.0029591916855316,0.0008768285064424,0.6007572285026552,2,1,1,3,1,21131
2019-06-17,183.0399932861328,184.25,182.83999633789065,183.7400054931641,20379500,182.63999938964844,37203655.0,0.0021900673336677,0.0066106138453341,0.0010926407101071,0.0038243675300894,0.5477822004316512,3,2,1,3,1,32131
2019-06-18,185.91000366210935,187.72000122070312,185.42999267578125,186.41000366210935,48177300,183.7400054931641,35987515.0,0.0118101562211283,0.0097358803880367,0.002581953509078,0.00268947334813,1.33872260977175,4,2,1,3,4,42134
2019-06-19,186.66000366210935,187.52999877929688,185.57000732421875,187.11000061035156,31672900,186.41000366210935,36465965.0,0.0013411297413692,0.0046608544954407,0.005839474533943,0.0024107839891442,0.8685605879345302,3,1,2,3,2,31232
2019-06-20,189.72000122070312,189.7599945068359,187.16000366210935,188.8500061035156,40922000,187.11000061035156,36468920.0,0.0139490171655056,0.0002108016333304,0.0134935565155078,-0.0045856794833953,1.1221061660175295,4,1,2,3,4,41234
2019-06-21,188.6300048828125,189.77000427246097,188.1699981689453,188.57000732421875,39980400,188.8500061035156,37298390.0,-0.0011649521503457,0.0060435739815449,0.0024386720137815,-0.0003180700686034,1.0719068571056285,3,2,1,3,3,32133
